   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0 |     -0.211431177735989 |     -0.214639097664146 |     -0.214639097663146 |     -0.214639097323430 |   1.00e-12 |   3.41e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
    1 |     -0.745438154315639 |     -0.923111516732439 |     -0.923111516731438 |     -0.922659728730152 |   1.00e-12 |   4.52e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
    2 |      0.214611544815801 |      0.217968267891413 |      0.217968267892413 |      0.217968267489660 |   1.00e-12 |   4.02e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
    3 |     -0.689057430462986 |     -0.823752707824151 |     -0.823752707823151 |     -0.823570225337736 |   1.00e-12 |   1.82e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
    4 |      0.358895859045763 |      0.375142800151314 |      0.375142800152314 |      0.375142681155979 |   1.00e-12 |   1.19e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
    5 |      1.162009027185988 |      2.308454921390519 |      2.308454921391515 |      2.308457620144421 |   9.96e-13 |   2.70e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
    6 |      0.392749537945219 |      0.414272676778397 |      0.414272676779397 |      0.414272352512766 |   1.00e-12 |   3.24e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
    7 |     -0.035950897753422 |     -0.035966394215184 |     -0.035966394214184 |     -0.035966394215184 |   1.00e-12 |   0.00e+00 | 0.0000000000 | 0.0000000000 | 0.0000000000
    8 |      1.366849434091165 |      4.835065684145841 |      4.835065684146840 |      4.835065689497257 |   9.99e-13 |   5.35e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
    9 |     -0.720709572149274 |     -0.878324091045005 |     -0.878324091044005 |     -0.878018168945776 |   1.00e-12 |   3.06e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
   10 |     -0.195652668138362 |     -0.198188022401437 |     -0.198188022400437 |     -0.198188022256651 |   1.00e-12 |   1.45e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
   11 |     -0.109705150228583 |     -0.110147387860426 |     -0.110147387859426 |     -0.110147387860179 |   1.00e-12 |   2.47e-13 | 0.0000000000 | 0.0000000000 | 0.0000000000
